Day,Strand/Standard,Title,Concepts,Starter,Description
12,"Strand 1 / Standard 3","Advanced String Operations","Locate substring, insert characters","How would you find a word inside a sentence, like ""the"" in ""the cat""?","Students will explore advanced string operations like substring location and insertion in their chosen language’s IDE. The focus is on string manipulation. The submittable artifact is a source file performing substring operations."
13,"Strand 3 / Standard 1",Understanding Scope,"Local vs global variables, function scope","If you have a variable inside a function, can you use it outside? Why or why not?","The lesson introduces variable scope in a student-chosen language, comparing local and global variables in functions within an IDE. Students will write code demonstrating scope. The submittable artifact is a source file with local and global variables."
14,"Strand 3 / Standard 1","Declaring and Accessing Variables","Declare local/global variables, access scope","Where should you declare a variable if you need it in multiple functions?","Students will practice declaring and accessing variables across different scopes in their chosen language’s IDE. The focus is on scope management. The submittable artifact is a source file demonstrating variable access across functions."
15,"Strand 3 / Standard 2","Functions and Parameters","Define functions with parameters, understand arguments","Think of a recipe: what are the ingredients, and how are they like function parameters?","The lesson covers defining functions with parameters in a chosen language, focusing on argument passing in an IDE. Students will write parameterized functions. The submittable artifact is a source file with a function using parameters."
16,"Strand 3 / Standard 2","Functions with Return Values","Return statements, functions with outputs","What does a function return if it has no return statement?","Students will learn to create functions with return values in their chosen language, emphasizing output handling in an IDE. The focus is on function outputs. The submittable artifact is a source file with a function returning a value."
17,"Strand 3 / Standard 2","Default Parameters in Functions","Functions with default parameters","How can default parameters make functions more flexible?","The lesson introduces default parameters in a student-chosen language, showing their use in flexible function design within an IDE. Students will write functions with defaults. The submittable artifact is a source file using default parameters."
18,"Strand 3 / Standard 3",Functional Decomposition,"Identify redundant code, abstract into functions","Code cleanup: Highlight redundant code in a sample program, discuss how to simplify.","Students will learn functional decomposition to simplify code by creating reusable functions in their chosen language’s IDE. The focus is on code modularity. The submittable artifact is a refactored source file with decomposed functions."
19,"Strand 3 / Standard 3","Characteristics of Well-Defined Functions","Well-defined functions, readability, maintainability","Why is it important for functions to be easy to read and maintain?","The lesson covers characteristics of well-defined functions in a chosen language, emphasizing readability and maintainability. Students will analyze function quality in an IDE. The submittable artifact is a written critique of a function’s design, saved as a text file."
20,"Strand 3 / Review",Functions Review,"Review scope, parameters, return values, exceptions","Flashcard review: Match function concepts to definitions in pairs.","Students will review function concepts in their chosen language through interactive exercises and coding practice in an IDE. The focus is on reinforcing Strand 3 skills. The submittable artifact is a source file with function examples and a completed review worksheet."
21,"Strand 4 / Standard 1","Using Built-in Classes","Instantiate objects, use methods","Think of a car: what can you do with a car object, like drive or honk?","The lesson introduces built-in classes in a student-chosen language, focusing on object instantiation and method calls in an IDE. Students will use a built-in class in code. The submittable artifact is a source file using a built-in class."
22,"Strand 4 / Standard 1","Data Members and Member Functions","Use data members, call member functions","How are data members like properties of an object, like a car's color?","Students will explore data members and member functions in object-oriented programming within their chosen language’s IDE. The focus is on object properties. The submittable artifact is a source file accessing object data members."
23,"Strand 4 / Standard 2","Creating User-Defined Classes","Create classes, use data members, constructors","How would you create a class for a student, with name and grade?","The lesson covers creating user-defined classes with constructors and data members in a chosen language’s IDE. Students will design a custom class. The submittable artifact is a source file defining a user-defined class."
24,"Strand 4 / Standard 2","Constructors and Member Functions","Define constructors, implement member functions","Why do we need a constructor when creating a class?","Students will learn to define constructors and member functions for custom classes in their chosen language’s IDE. The focus is on class implementation. The submittable artifact is a source file with a class and constructor."
25,"Strand 4 / Review",OOP Review,"Review classes, objects, methods, inheritance","Group discussion: What are the key differences between classes and objects?","The lesson reviews object-oriented programming concepts in a student-chosen language through discussion and coding in an IDE. Students will reinforce class knowledge. The submittable artifact is a concept map of OOP principles, saved as a text or image file."
26,"Strand 2 / Standard 1",Introduction to File Handling,"Create, store data in sequential files","How would you save a list of names to a file for later use?","Students will learn to create and write to sequential files in their chosen language, focusing on data persistence in an IDE. The lesson includes file I/O coding. The submittable artifact is a source file that writes data to a file."
27,"Strand 2 / Standard 1","Reading and Writing Files","Retrieve, update data in files","How would you read data from a file and display it?","The lesson covers reading and updating file data in a chosen language, with practical file I/O exercises in an IDE. Students will manipulate file contents. The submittable artifact is a source file that reads and updates a file."
28,"Strand 2 / Standard 1",File Operations,"Update, manage file data","What happens if you try to read from a file that doesn't exist?","Students will explore advanced file operations, including error handling for file access, in their chosen language’s IDE. The focus is on robust file management. The submittable artifact is a source file with file error handling."
29,"Strand 5 / Standard 1","Code Comprehension: Tracing","Trace code execution, understand flow","Follow the flow: Trace a simple program and predict its output.","The lesson focuses on tracing code execution in a student-chosen language to understand program flow. Students will practice tracing exercises in an IDE. The submittable artifact is a trace table for a given program, saved as a text file."
30,"Strand 5 / Standard 1","Debugging with IDEs","Use IDEs for debugging, identify errors","Error detective: Identify errors in a sample code snippet, categorize them.","Students will learn to use IDE debugging tools in their chosen language to identify and fix errors. The focus is on debugging techniques. The submittable artifact is a debugged source file with error annotations."
31,"Strand 5 / Standard 1","Testing for Robustness","Test code for edge cases, ensure reliability","How would you test a program to make sure it handles invalid inputs?","The lesson covers testing code for robustness in a chosen language, focusing on edge cases in an IDE. Students will create test cases. The submittable artifact is a test plan with five edge case tests, saved as a text file."
32,"Strand 6 / Standard 1",Project Planning,"Formalize specifications, choose data structures","What kind of program do you want to create? What features should it have?","Students will plan a programming project in their chosen language, defining specifications and data structures in an IDE. The focus is on project design. The submittable artifact is a project specification document, saved as a text file."
33,"Strand 6 / Standard 1","Designing the Project","Design algorithms, write pseudocode","Let's sketch out the steps your program will take.","The lesson focuses on designing project algorithms using pseudocode and diagrams for a project in a chosen language. Students will create a project blueprint. The submittable artifact is a pseudocode and UML diagram set, saved as a text or image file."
34,"Strand 6 / Standard 1","Implementing the Project","Code, test, document the project","Code studio: Build, test, and peer review projects.","Students will implement and test their project in their chosen language’s IDE, applying Strand 6 concepts. The focus is on coding and documentation. The submittable artifact is the project source file and documentation."
35,"Strand 6 / Standard 2","Teamwork in Projects","Divide tasks, coordinate, meet deadlines","Team role play: Assign roles like leader, coder, and discuss responsibilities.","The lesson emphasizes teamwork in project development, with role assignments and coordination for a project in a chosen language. Students will simulate team dynamics. The submittable artifact is a team task division plan, saved as a text file."
36,"Strand 7 / Standard 1","Ethics in Software Development","Software reliability, societal impact","Have you heard of any software that caused problems because it wasn't reliable? What happened?","Students will explore software reliability and its societal impact through case studies, using examples from their chosen language. The focus is on ethical programming. The submittable artifact is a case study analysis, saved as a text file."
37,"Strand 7 / Standard 1","Security and Privacy","Protect information, discuss security issues","How can software protect user data, like passwords?","The lesson covers security and privacy in software developed in a chosen language, with discussions on data protection. Students will analyze security practices. The submittable artifact is a written plan for securing user data, saved as a text file."
38,"Strand 7 / Standard 1","Automation and Society","Effects of automation, ethical considerations","Discuss: How does automation affect jobs, both positively and negatively?","Students will examine automation’s societal effects in the context of their chosen language, debating its pros and cons. The focus is on ethical considerations. The submittable artifact is a debate position paper on automation, saved as a text file."
39,"Strand 8 / Standard 1","Careers in Programming","Different roles in a programming team","What kind of job would you like to have in the tech industry? Why?","The lesson explores programming careers, focusing on team roles like analyst and developer, with examples from Java, C++, Python, or C# projects. Students will research a role. The submittable artifact is a one-page career profile, saved as a text file."
40,"Strand 8 / Standard 1","Trends and Pathways","Investigate trends, career pathways in programming","Trend debate: Is AI programming a boon or a risk for future careers?","Students will investigate programming trends and career pathways in Java, C++, Python, or C#, discussing future opportunities. The focus is on industry trends. The submittable artifact is a presentation on a programming trend, saved as a presentation file."
