Day,Strand/Standard,Title,Concepts,Starter,Description
31,"Strand 1 / Performance",Portfolio Introduction,"Portfolio basics, project showcase","Portfolio Plan: List three CS projects for a portfolio.","The lesson introduces portfolio creation for showcasing CS projects. Students will plan a portfolio with Processing or Scratch projects. The submittable artifact is a portfolio outline, saved as a text file."
32,"Strand 2 / Performance",Hardware and Software Project,"Hardware-software interaction","System Design: Sketch a system with input and output.","Students will design a system in Processing that simulates hardware-software interaction (e.g., keyboard input to display). The submittable artifact is a .pde file with input-output simulation."
33,"Workplace Skills",Collaboration Skills,"Teamwork, communication","Team Role Play: Act out a CS team meeting with roles.","The lesson focuses on workplace skills like collaboration and communication in CS. Students will simulate a team project. The submittable artifact is a team role plan, saved as a text file."
34,Review,"CS Concepts Review","Key terms, computational thinking","Concept Jeopardy: Answer CS questions in a quiz game format.","Students will review key CS concepts (e.g., algorithms, data) through interactive exercises. The focus is on reinforcing Strands 1–3. The submittable artifact is a completed review worksheet, saved as a text file."
35,Review,"Programming Review","Scratch, Processing basics","Code Trace: Trace a Scratch or Processing program’s logic.","The lesson reviews programming concepts in Scratch and Processing, focusing on loops and conditionals. Students will analyze code. The submittable artifact is a code analysis report, saved as a text file."
36,Assessment,"Midterm CS Project","Apply Strands 1–3 in a project","CS Jam: Create a Processing or HTML project in 90 minutes.","Students will create a project using Processing or HTML/CSS, applying computational thinking and web development. The submittable artifact is a .pde or .html/.css file and a project plan."
37,Assessment,"Certification Practice","Prep for Skill Certification Test","Mock Cert Test: Time-based multiple choice practice.","The lesson prepares students for the Exploring Computer Science certification test with practice questions. The focus is on test-taking strategies. The submittable artifact is a completed practice test, saved as a text file."
38,Assessment,"Final Project Design","Student-driven CS project design","Project Planner: Create a project plan with pseudocode.","Students will design a final CS project (Processing, Scratch, or HTML/CSS), creating a plan with pseudocode. The focus is on planning. The submittable artifact is a project plan, saved as a text or image file."
39,Assessment,"Final Project Implementation","Code, test, and present project","Code Studio: Build, test, and peer review CS projects.","Students will implement, test, and present their final project in Processing, Scratch, or HTML/CSS. The focus is on execution. The submittable artifact is a .pde, .sb3, or .html/.css file and a presentation."
40,Wrap-up,"Reflection & Showcase","Review progress, present outcomes","Reflection Wheel: Spin and share—what did you learn, enjoy?","The lesson reflects on the course, with students presenting their CS projects. The focus is on self-assessment and celebration. The submittable artifact is a written reflection on the course, saved as a text file."
