Day,Strand/Standard,Title,Concepts,Starter,Description
13,"Strand 3 / Standard 3",Arithmetic Operators,"Addition, Subtraction, Multiplication, Division, Modulus","Arithmetic Showdown: Solve math with Processing code and compare to math class logic","Students will explore arithmetic operators in Processing through coding exercises, using them in graphical outputs. They will write a sketch using all operators. The submittable artifact is a .pde file calculating results with each operator."
14,"Strand 3 / Standard 3","Comparison & Logic Operators","<, >, ==, AND, OR, NOT","Logic Card Sort: Match operators to examples and true/false results in Processing","The lesson covers comparison and logic operators in Processing, focusing on their use in decision-making for animations. Students will create expressions in a sketch. The submittable artifact is a .pde file with five logical expressions and their outputs."
15,"Strand 3 / Standard 3","Order of Operations","PEMMDAS, parenthesis, operator precedence","PEMMDAS Race: Students order expressions by precedence under time limit","Students will learn the order of operations (PEMMDAS) in Processing, practicing with complex expressions in sketches. The focus is on correct expression evaluation. The submittable artifact is a .pde file with five evaluated expressions and comments explaining results."
16,"Strand 3 / Standard 4",Expressions,"Operators + Operands, Syntactic correctness","Expression Match: Match valid and invalid expressions to explanations in Processing","The lesson focuses on constructing syntactically correct expressions in Processing using operators and operands. Students will identify and fix invalid expressions in a sketch. The submittable artifact is a .pde file with five corrected expressions and comments."
17,"Strand 3 / Standard 5","Functions & Scope","Function use, local vs global variables","**Chef's Station** (5-7 mins): Imagine a restaurant kitchen. The 'sauce station' only knows about the ingredients for sauces (local). The 'pantry' knows about all ingredients (global). How does this help organize a Processing sketch?","Students will explore functions and variable scope in Processing, writing functions for graphical tasks. The focus is on modularity in sketches. The submittable artifact is a .pde file with two functions demonstrating scope."
18,"Strand 3 / Standard 5","Built-in vs User-defined Functions","Arguments, Return values","**Toolbox Analogy** (5-7 mins): Show a multi-tool vs. a custom-built tool. Discuss how Processing’s built-in functions (e.g., draw()) compare to user-defined ones.","The lesson compares built-in and user-defined functions in Processing, focusing on arguments and return values. Students will write a user-defined function for a sketch. The submittable artifact is a .pde file with one built-in and one user-defined function."
19,"Strand 3 / Standard 6","Complex Data Types","Strings, Arrays, Lists","**Organizing Your Stuff** (5-7 mins): Ask students how they organize their school supplies. Do they keep individual pencils (simple) or a whole pencil case with multiple items (complex)? Relate to Processing data storage.","Students will learn about complex data types like Strings and Arrays in Processing, practicing their use in sketches. The focus is on data organization for visualizations. The submittable artifact is a .pde file using an Array and a String."
20,"Strand 3 / Performance","Mini Project: Data & Functions","Write program using all key concepts","Concept Map Sprint: Build a wall chart showing links between Strand 3 topics","Students will create a Processing sketch combining data types, functions, and expressions, applying Strand 3 concepts. The lesson emphasizes project integration for a visual output. The submittable artifact is the .pde file and a concept map."
21,"Strand 4 / Standard 1",IF Statements,"IF, ELSE IF, ELSE logic, nesting","Code Snippet Judge: Rank IF statements in Processing sketches on readability and logic","The lesson introduces IF statements in Processing, including ELSE IF and ELSE, with a focus on nesting for interactive sketches. Students will write conditional logic code. The submittable artifact is a .pde file with nested IF statements."
22,"Strand 4 / Standard 2","Loops: For Loops","Loop structure, initial/condition/update","Loop Build Challenge: Write a simple for-loop in Processing from a visual diagram","Students will learn for-loop structure in Processing and practice writing loops for repetitive graphical tasks. The focus is on loop mechanics. The submittable artifact is a .pde file with a working for-loop."
23,"Strand 4 / Standard 2","Loops: While Loops","While-loop logic, use cases","While-Loop Maze: Follow a condition through a loop 'path' in a Processing sketch","The lesson covers while loops in Processing, exploring their use cases for animations. Students will write a while loop program. The submittable artifact is a .pde file with a working while loop."
24,"Strand 4 / Standard 2","Nested Loops & Loop Exit","Break, condition met/failed, infinite loops","Loop Ending Escape Room: Identify what ends each loop scenario in Processing","Students will explore nested loops and loop exit strategies like break statements in Processing sketches. The focus is on controlling loop flow for animations. The submittable artifact is a .pde file with nested loops and a break statement."
25,"Strand 4 / Standard 3","Complex Conditions","Relational + Logical operators in loops","Complex Condition Mad Lib: Build silly but valid loop conditions in Processing","The lesson focuses on combining relational and logical operators in loop conditions within Processing sketches. Students will write complex conditional loops. The submittable artifact is a .pde file with a loop using complex conditions."
26,"Strand 4 / Performance","Control Structures Project","Apply IFs and Loops in programs","IF/LOOP Bingo: Win by spotting correct use in live Processing code walkthroughs","Students will create a Processing sketch combining IF statements and loops, applying Strand 4 concepts. The lesson emphasizes practical application for interactive visuals. The submittable artifact is the .pde file and a brief explanation of control structures used."
27,"Strand 5 / Standard 1","Careers in Programming","Team roles: leader, analyst, developer, SME","Career Hat Day: Match personality traits to programming job roles","The lesson explores programming careers, focusing on team roles like leader and developer, with examples from Processing-based projects. Students will research one role. The submittable artifact is a one-page summary of a programming role, saved as a text file."
28,"Strand 5 / Standard 1","Traits of Programmers","Problem solving, collaboration, creativity","Team Role Drama: Perform a mini-sketch for each team role","Students will discuss traits like problem-solving and collaboration essential for programmers, using Processing projects as context. They will perform a group skit. The submittable artifact is a written reflection on one programmer trait, saved as a text file."
29,"Strand 5 / Standard 1","Pathways and Trends","Related career paths, industry trends","Trend Debate: AI programming—boon or risk?","The lesson covers career pathways and current trends like AI in programming, with connections to Processing’s applications. Students will debate a trend’s impact. The submittable artifact is a debate position paper on one trend, saved as a text file."
30,"Strand 5 / Standard 2","Ethics in Programming","Piracy, privacy, copyright, automation","Ethics Dilemma Cards: What should a dev do in questionable scenarios?","Students will explore ethical issues in programming, such as piracy and privacy, through case studies, including Processing-based software. The focus is on ethical decision-making. The submittable artifact is a written response to an ethics dilemma, saved as a text file."
31,"Strand 5 / Standard 2","Impact of Software","Workplace and societal implications","Impact Pyramid: Stack how software affects individual → global society","The lesson examines software’s impact on workplaces and society, using Processing apps as examples. Students will create an impact diagram. The submittable artifact is the diagram with annotations, saved as an image or text file."
32,"Strand 5 / Performance","Career Exploration Project","Present on a chosen software career","Career Pitch: 60-sec elevator pitch for a dream tech job","Students will research and present on a software career, using Processing project examples to illustrate roles. The focus is on career exploration and presentation skills. The submittable artifact is a slide deck and pitch script, saved as a presentation file."
33,"Workplace Skills","Professional Skills","Communication, Teamwork, Accountability","Skill Scenarios: Match professional traits to success stories","The lesson focuses on workplace skills like communication and teamwork, with group activities contextualized by Processing projects. Students will analyze real-world scenarios. The submittable artifact is a written analysis of one scenario, saved as a text file."
34,Review,"Vocabulary & Syntax Practice","Key terms, syntax review","Syntax Bee: Students fix Processing syntax on-the-fly in speed rounds","Students will review key programming terms and Processing syntax through interactive exercises. The focus is on reinforcing foundational knowledge. The submittable artifact is a .pde file with corrected syntax and a completed syntax worksheet."
35,Review,"Problem Solving Strategies","Decomposition, pattern recognition","Pattern Detectives: Spot repeat logic in real-life Processing code examples","The lesson covers problem-solving strategies like decomposition and pattern recognition in Processing sketches. Students will analyze code for patterns. The submittable artifact is a pattern analysis report for a Processing sketch, saved as a text file."
36,Assessment,"Midterm Project","Apply Strands 3–4 in a complete program","Midterm Launch: Gallery of Processing project prompts; students pick and plan","Students will create a Processing sketch applying data types, functions, and control structures. The focus is on integrating Strands 3 and 4 for a visual output. The submittable artifact is the .pde file and a project plan."
37,Assessment,"Certification Practice","Prep for Skill Certification Test #820","Mock Cert Test: Time-based multiple choice practice","The lesson prepares students for the Skill Certification Test #820 with practice questions, including Processing-related scenarios. The focus is on test-taking strategies. The submittable artifact is a completed practice test, saved as a text file."
38,Assessment,"Final Project Design","Student-driven coding project design","Project Planner: Fill out design doc with pseudocode + diagrams for a Processing project","Students will design a final Processing project, creating pseudocode and diagrams. The focus is on project planning. The submittable artifact is a design document with pseudocode and UML, saved as a text or image file."
39,Assessment,"Final Project Implementation","Code, test, and present project","Code Studio: Build, test, and peer review Processing projects","Students will implement, test, and present their final Processing project, applying all course concepts. The focus is on execution and peer review. The submittable artifact is the final .pde file and a presentation."
40,Wrap-up,"Reflection & Showcase","Review progress and present learning outcomes","Reflection Wheel: Spin and speak—what did you learn, struggle with, enjoy in Processing?","The lesson reflects on the course, with students presenting their learning outcomes from Processing projects. The focus is on self-assessment and celebration. The submittable artifact is a written reflection on the course experience, saved as a text file."
